,Driver,Stint,Compound,LapNumber
0,ALB,1.0,MEDIUM,18
1,ALB,2.0,HARD,34
2,ALB,3.0,INTERMEDIATE,25
3,ALO,1.0,HARD,54
4,ALO,2.0,MEDIUM,1
5,ALO,3.0,INTERMEDIATE,23
6,BOT,1.0,HARD,51
7,BOT,2.0,INTERMEDIATE,26
8,DEV,1.0,MEDIUM,53
9,DEV,2.0,INTERMEDIATE,24
10,GAS,1.0,HARD,47
11,GAS,2.0,MEDIUM,7
12,GAS,3.0,INTERMEDIATE,24
13,HAM,1.0,MEDIUM,31
14,HAM,2.0,HARD,23
15,HAM,3.0,INTERMEDIATE,24
16,HUL,1.0,MEDIUM,1
17,HUL,2.0,HARD,53
18,HUL,3.0,INTERMEDIATE,5
19,HUL,4.0,WET,17
20,LEC,1.0,HARD,44
21,LEC,2.0,MEDIUM,11
22,LEC,3.0,INTERMEDIATE,23
23,MAG,1.0,HARD,56
24,MAG,2.0,WET,15
25,NOR,1.0,MEDIUM,50
26,NOR,2.0,HARD,4
27,NOR,3.0,INTERMEDIATE,23
28,OCO,1.0,MEDIUM,32
29,OCO,2.0,HARD,22
30,OCO,3.0,INTERMEDIATE,24
31,PER,1.0,MEDIUM,1
32,PER,2.0,HARD,33
33,PER,3.0,MEDIUM,19
34,PER,4.0,INTERMEDIATE,4
35,PER,5.0,WET,13
36,PER,6.0,INTERMEDIATE,6
37,PIA,1.0,HARD,54
38,PIA,2.0,INTERMEDIATE,23
39,RUS,1.0,HARD,54
40,RUS,2.0,INTERMEDIATE,24
41,SAI,1.0,HARD,33
42,SAI,2.0,MEDIUM,22
43,SAI,3.0,INTERMEDIATE,23
44,SAR,1.0,MEDIUM,20
45,SAR,2.0,HARD,3
46,SAR,3.0,SOFT,29
47,SAR,4.0,INTERMEDIATE,24
48,STR,1.0,HARD,51
49,STR,2.0,INTERMEDIATE,3
50,TSU,1.0,MEDIUM,53
51,TSU,2.0,INTERMEDIATE,23
52,VER,1.0,MEDIUM,55
53,VER,2.0,INTERMEDIATE,23
54,ZHO,1.0,SOFT,1
55,ZHO,2.0,HARD,51
56,ZHO,3.0,INTERMEDIATE,25
